citation_raw,record_key,title,coverDate,publicationName,doi,eid,scopus_id,citedby_count,prism_url
Morton J.F. (2007) 'The impact of climate change on smallholder and subsistence agriculture'. Proceedings of the National Academy of Sciences of the United States of America. https://doi.org/10.1073/pnas.0701855104,10.1073/pnas.0701855104,The impact of climate change on smallholder and subsistence agriculture,2007-12-11,Proceedings of the National Academy of Sciences of the United States of America,10.1073/pnas.0701855104,2-s2.0-38049160125,38049160125,1196,https://api.elsevier.com/content/abstract/scopus_id/38049160125
"(2007) 'Economie, social and ecological impacts on Brazil of accelerated liberalisation of the European sugar market'. Geographische Rundschau.",economiesocialandecologicalimpactsonbrazilofacceleratedliberalisationoftheeuropeansugarmarket,"Economie, social and ecological impacts on Brazil of accelerated liberalisation of the European sugar market",2007-12-07,Geographische Rundschau,,2-s2.0-36649023342,36649023342,0,https://api.elsevier.com/content/abstract/scopus_id/36649023342
Barbier B. (2007) 'Making tropical agriculture more Sustainable by using bioeconomic models'. Making World Development Work Scientific Alternatives to Neoclassical Economic Theory.,makingtropicalagriculturemoresustainablebyusingbioeconomicmodels,Making tropical agriculture more Sustainable by using bioeconomic models,2007-12-01,Making World Development Work Scientific Alternatives to Neoclassical Economic Theory,,2-s2.0-70350333729,70350333729,1,https://api.elsevier.com/content/abstract/scopus_id/70350333729
Loeve R. (2007) 'Transferring water from irrigation to higher valued uses: A case study of the Zhanghe irrigation system in China'. Paddy and Water Environment. https://doi.org/10.1007/s10333-007-0090-x,10.1007/s10333-007-0090-x,Transferring water from irrigation to higher valued uses: A case study of the Zhanghe irrigation system in China,2007-12-01,Paddy and Water Environment,10.1007/s10333-007-0090-x,2-s2.0-36448983577,36448983577,13,https://api.elsevier.com/content/abstract/scopus_id/36448983577
"Barbier B. (2007) 'Trade-offs between income and erosion in a small watershed: GIS and economic modeling in the río jalapa watershed, honduras'. Making World Development Work Scientific Alternatives to Neoclassical Economic Theory.",tradeoffsbetweenincomeanderosioninasmallwatershedgisandeconomicmodelingintherojalapawatershedhonduras,"Trade-offs between income and erosion in a small watershed: GIS and economic modeling in the río jalapa watershed, honduras",2007-12-01,Making World Development Work Scientific Alternatives to Neoclassical Economic Theory,,2-s2.0-84898372551,84898372551,1,https://api.elsevier.com/content/abstract/scopus_id/84898372551
Lal R. (2007) 'Soil carbon sequestration to mitigate climate change and advance food security'. Soil Science. https://doi.org/10.1097/ss.0b013e31815cc498,10.1097/ss.0b013e31815cc498,Soil carbon sequestration to mitigate climate change and advance food security,2007-12-01,Soil Science,10.1097/ss.0b013e31815cc498,2-s2.0-37349120410,37349120410,429,https://api.elsevier.com/content/abstract/scopus_id/37349120410
Avelino J. (2007) 'Topography and crop management are key factors for the development of American leaf spot epidemics on coffee in Costa Rica'. Phytopathology. https://doi.org/10.1094/phyto-97-12-1532,10.1094/phyto-97-12-1532,Topography and crop management are key factors for the development of American leaf spot epidemics on coffee in Costa Rica,2007-12-01,Phytopathology,10.1094/phyto-97-12-1532,2-s2.0-37349068539,37349068539,49,https://api.elsevier.com/content/abstract/scopus_id/37349068539
Das S.N. (2007) 'EO enabled optimization of cropping system in drought prone regions of India: An experiince in vidarbha region'. International Astronautical Federation 58th International Astronautical Congress 2007.,eoenabledoptimizationofcroppingsystemindroughtproneregionsofindiaanexperiinceinvidarbharegion,EO enabled optimization of cropping system in drought prone regions of India: An experiince in vidarbha region,2007-12-01,International Astronautical Federation 58th International Astronautical Congress 2007,,2-s2.0-54949139976,54949139976,0,https://api.elsevier.com/content/abstract/scopus_id/54949139976
"Luijten J. (2007) 'Simulation modeling for characterizing strategic streamwater availability in the tascalapa river Watershed, Honduras'. Making World Development Work Scientific Alternatives to Neoclassical Economic Theory.",simulationmodelingforcharacterizingstrategicstreamwateravailabilityinthetascalapariverwatershedhonduras,"Simulation modeling for characterizing strategic streamwater availability in the tascalapa river Watershed, Honduras",2007-12-01,Making World Development Work Scientific Alternatives to Neoclassical Economic Theory,,2-s2.0-84898124195,84898124195,0,https://api.elsevier.com/content/abstract/scopus_id/84898124195
"De Châtel F. (2007) 'Perceptions of water in the Middle East: The role of religion, politics and technology in concealing the growing water scarcity'. Water Resources in the Middle East Israel Palestinian Water Issues from Conflict to Cooperation. https://doi.org/10.1007/978-3-540-69509-7_5",10.1007/978-3-540-69509-7_5,"Perceptions of water in the Middle East: The role of religion, politics and technology in concealing the growing water scarcity",2007-12-01,Water Resources in the Middle East Israel Palestinian Water Issues from Conflict to Cooperation,10.1007/978-3-540-69509-7_5,2-s2.0-84891425048,84891425048,12,https://api.elsevier.com/content/abstract/scopus_id/84891425048
Brinker D. (2007) 'Colonial-nesting seabirds in the Chesapeake Bay region: Where have we been and where are we going?'. Waterbirds. https://doi.org/10.1675/1524-4695(2007)030[0093:csitcb]2.0.co;2,10.1675/1524-4695(2007)030[0093:csitcb]2.0.co;2,Colonial-nesting seabirds in the Chesapeake Bay region: Where have we been and where are we going?,2007-12-01,Waterbirds,10.1675/1524-4695(2007)030[0093:csitcb]2.0.co;2,2-s2.0-42049111604,42049111604,26,https://api.elsevier.com/content/abstract/scopus_id/42049111604
De Silva D. (2007) 'Effects of the tsunami on fisheries and coastal livelihood: A case study of tsunami-ravaged southern Sri Lanka'. Disasters. https://doi.org/10.1111/j.1467-7717.2007.01015.x,10.1111/j.1467-7717.2007.01015.x,Effects of the tsunami on fisheries and coastal livelihood: A case study of tsunami-ravaged southern Sri Lanka,2007-12-01,Disasters,10.1111/j.1467-7717.2007.01015.x,2-s2.0-36348968921,36348968921,68,https://api.elsevier.com/content/abstract/scopus_id/36348968921
Vander Zanden M.J. (2007) 'Modeling spawning dates of Hucho taimen in Mongolia to establish fishery management zones'. Ecological Applications. https://doi.org/10.1890/06-1781.1,10.1890/06-1781.1,Modeling spawning dates of Hucho taimen in Mongolia to establish fishery management zones,2007-12-01,Ecological Applications,10.1890/06-1781.1,2-s2.0-39349112676,39349112676,10,https://api.elsevier.com/content/abstract/scopus_id/39349112676
