citation_raw,record_key,title,coverDate,publicationName,doi,eid,scopus_id,citedby_count,prism_url
"Fazli H. (2025) 'Environmental and fishery-related threats to the population of Rutilus kutum (Kamensky, 1901) in the Caspian ecosystem: a comprehensive analysis'. Marine and Freshwater Research. https://doi.org/10.1071/mf25174",10.1071/mf25174,"Environmental and fishery-related threats to the population of Rutilus kutum (Kamensky, 1901) in the Caspian ecosystem: a comprehensive analysis",2025-12-19,Marine and Freshwater Research,10.1071/mf25174,2-s2.0-105025160435,105025160435,0,https://api.elsevier.com/content/abstract/scopus_id/105025160435
"Ngo M.T. (2025) 'Impacts and adaptation activities in response to climate change by fishery households in Thua Thien Hue Province, Vietnam'. International Journal of Climate Change Strategies and Management. https://doi.org/10.1108/ijccsm-02-2025-0041",10.1108/ijccsm-02-2025-0041,"Impacts and adaptation activities in response to climate change by fishery households in Thua Thien Hue Province, Vietnam",2025-12-15,International Journal of Climate Change Strategies and Management,10.1108/ijccsm-02-2025-0041,2-s2.0-105009335385,105009335385,1,https://api.elsevier.com/content/abstract/scopus_id/105009335385
"Alhaiek S.A. (2025) 'Climate change and smallholder farmers in Northwest Syria: perceptions, impacts and the promise of climate-smart agriculture'. International Journal of Climate Change Strategies and Management. https://doi.org/10.1108/ijccsm-05-2025-0139",10.1108/ijccsm-05-2025-0139,"Climate change and smallholder farmers in Northwest Syria: perceptions, impacts and the promise of climate-smart agriculture",2025-12-15,International Journal of Climate Change Strategies and Management,10.1108/ijccsm-05-2025-0139,2-s2.0-105024719550,105024719550,0,https://api.elsevier.com/content/abstract/scopus_id/105024719550
Biffis E. (2025) 'Insurance products and sustainability'. Handbook of Quantitative Sustainable Finance. https://doi.org/10.1201/9781032636252-18,10.1201/9781032636252-18,Insurance products and sustainability,2025-12-12,Handbook of Quantitative Sustainable Finance,10.1201/9781032636252-18,2-s2.0-105024376402,105024376402,0,https://api.elsevier.com/content/abstract/scopus_id/105024376402
Siyao P.O. (2025) 'Breaking barriers in accessing and uptaking climate change adaptation information by smallholder tomato farmers in Tanzania'. Global Knowledge Memory and Communication. https://doi.org/10.1108/gkmc-05-2023-0155,10.1108/gkmc-05-2023-0155,Breaking barriers in accessing and uptaking climate change adaptation information by smallholder tomato farmers in Tanzania,2025-12-10,Global Knowledge Memory and Communication,10.1108/gkmc-05-2023-0155,2-s2.0-85180901427,85180901427,2,https://api.elsevier.com/content/abstract/scopus_id/85180901427
Mramba R.P. (2025) 'Assessing farmers’ awareness of climate change impacts and adaptation practices in a semi-arid region in Tanzania'. Discover Sustainability. https://doi.org/10.1007/s43621-025-01831-4,10.1007/s43621-025-01831-4,Assessing farmers’ awareness of climate change impacts and adaptation practices in a semi-arid region in Tanzania,2025-12-01,Discover Sustainability,10.1007/s43621-025-01831-4,2-s2.0-105014947400,105014947400,1,https://api.elsevier.com/content/abstract/scopus_id/105014947400
Mulyasari G. (2025) 'Modelling Adaptation to Climate Change among Small-Scale Fishermen in Bengkulu Province in Indonesia'. Challenges in Sustainability. https://doi.org/10.56578/cis130403,10.56578/cis130403,Modelling Adaptation to Climate Change among Small-Scale Fishermen in Bengkulu Province in Indonesia,2025-12-01,Challenges in Sustainability,10.56578/cis130403,2-s2.0-105019712678,105019712678,1,https://api.elsevier.com/content/abstract/scopus_id/105019712678
Kgosikoma O.E. (2025) 'Climate change risks and adaptive capacity analysis in the Botswana livestock industry'. Tropical Animal Health and Production. https://doi.org/10.1007/s11250-025-04771-3,10.1007/s11250-025-04771-3,Climate change risks and adaptive capacity analysis in the Botswana livestock industry,2025-12-01,Tropical Animal Health and Production,10.1007/s11250-025-04771-3,2-s2.0-105024244854,105024244854,0,https://api.elsevier.com/content/abstract/scopus_id/105024244854
"Gills R. (2025) 'Climate change, adaptation pathways, and mitigation measures in coastal Karnataka: socio-ecological perspectives from marine fishing communities'. Proceedings of the Indian National Science Academy. https://doi.org/10.1007/s43538-025-00582-0",10.1007/s43538-025-00582-0,"Climate change, adaptation pathways, and mitigation measures in coastal Karnataka: socio-ecological perspectives from marine fishing communities",2025-12-01,Proceedings of the Indian National Science Academy,10.1007/s43538-025-00582-0,2-s2.0-105021409631,105021409631,0,https://api.elsevier.com/content/abstract/scopus_id/105021409631
"Chatsiwa J. (2025) 'Vulnerability to Climate Variability of Smallholder Farmers in Gutu District, Zimbabwe: A Pro-Poor Asset Adaptation Approach'. Journal of Asian and African Studies. https://doi.org/10.1177/00219096241284738",10.1177/00219096241284738,"Vulnerability to Climate Variability of Smallholder Farmers in Gutu District, Zimbabwe: A Pro-Poor Asset Adaptation Approach",2025-12-01,Journal of Asian and African Studies,10.1177/00219096241284738,2-s2.0-85210732446,85210732446,0,https://api.elsevier.com/content/abstract/scopus_id/85210732446
"Azine P.C. (2025) 'Assessing smallholder farmers’ vulnerability to climate change and coping strategies in South Kivu Province, eastern Democratic Republic of Congo'. Environmental Systems Research. https://doi.org/10.1186/s40068-025-00393-8",10.1186/s40068-025-00393-8,"Assessing smallholder farmers’ vulnerability to climate change and coping strategies in South Kivu Province, eastern Democratic Republic of Congo",2025-12-01,Environmental Systems Research,10.1186/s40068-025-00393-8,2-s2.0-85218205942,85218205942,4,https://api.elsevier.com/content/abstract/scopus_id/85218205942
Bouarfa A. (2025) 'The adaptation of loyalists and nomads to drought and climate change in the Southwestern Algerian Sahara - Naama'. Theoretical and Applied Climatology. https://doi.org/10.1007/s00704-025-05890-5,10.1007/s00704-025-05890-5,The adaptation of loyalists and nomads to drought and climate change in the Southwestern Algerian Sahara - Naama,2025-12-01,Theoretical and Applied Climatology,10.1007/s00704-025-05890-5,2-s2.0-105021923001,105021923001,0,https://api.elsevier.com/content/abstract/scopus_id/105021923001
"Haile A.T. (2025) 'Perceptions and adaptation to climate change among livestock farmers in Tigray, Ethiopia'. Discover Environment. https://doi.org/10.1007/s44274-025-00452-y",10.1007/s44274-025-00452-y,"Perceptions and adaptation to climate change among livestock farmers in Tigray, Ethiopia",2025-12-01,Discover Environment,10.1007/s44274-025-00452-y,2-s2.0-105023699392,105023699392,0,https://api.elsevier.com/content/abstract/scopus_id/105023699392
Mosha N.F.V. (2025) 'Adoption of climate change mitigation and adaptation strategies among smallholder farmers in African countries: a systematic review'. Discover Sustainability. https://doi.org/10.1007/s43621-025-01983-3,10.1007/s43621-025-01983-3,Adoption of climate change mitigation and adaptation strategies among smallholder farmers in African countries: a systematic review,2025-12-01,Discover Sustainability,10.1007/s43621-025-01983-3,2-s2.0-105018836204,105018836204,0,https://api.elsevier.com/content/abstract/scopus_id/105018836204
Sithole M.Z. (2025) 'Unpacking Water Scarcity Adaptation Strategies for Sustainable Food Production Systems in Sub-Saharan Africa'. Sustainability Switzerland. https://doi.org/10.3390/su172310627,10.3390/su172310627,Unpacking Water Scarcity Adaptation Strategies for Sustainable Food Production Systems in Sub-Saharan Africa,2025-12-01,Sustainability Switzerland,10.3390/su172310627,2-s2.0-105024717497,105024717497,0,https://api.elsevier.com/content/abstract/scopus_id/105024717497
