doi,year,final_decision,hard_filter_status,1_population_decision,1_population_quote,1_population_verified,2_concept_decision,2_concept_quote,2_concept_verified,3_context_decision,3_context_quote,3_context_verified,4_methodology_decision,4_methodology_quote,4_methodology_verified,5_geography_decision,5_geography_quote,5_geography_verified,final_decision
,,unclear_no_abstract,exclude_no_abstract,unclear_skipped,,False,unclear_skipped,,False,unclear_skipped,,False,unclear_skipped,,False,unclear_skipped,,False,unclear_no_abstract
,,unclear_no_abstract,exclude_no_abstract,unclear_skipped,,False,unclear_skipped,,False,unclear_skipped,,False,unclear_skipped,,False,unclear_skipped,,False,unclear_no_abstract
10.1163/9789004304987_022,2017.0,unclear_no_abstract,exclude_no_abstract,unclear_skipped,,False,unclear_skipped,,False,unclear_skipped,,False,unclear_skipped,,False,unclear_skipped,,False,unclear_no_abstract
10.1016/j.gloenvcha.2012.12.009,2013.0,unclear_no_abstract,exclude_no_abstract,unclear_skipped,,False,unclear_skipped,,False,unclear_skipped,,False,unclear_skipped,,False,unclear_skipped,,False,unclear_no_abstract
,2022.0,unclear_no_abstract,exclude_no_abstract,unclear_skipped,,False,unclear_skipped,,False,unclear_skipped,,False,unclear_skipped,,False,unclear_skipped,,False,unclear_no_abstract
,,unclear_no_abstract,exclude_no_abstract,unclear_skipped,,False,unclear_skipped,,False,unclear_skipped,,False,unclear_skipped,,False,unclear_skipped,,False,unclear_no_abstract
,,unclear_no_abstract,exclude_no_abstract,unclear_skipped,,False,unclear_skipped,,False,unclear_skipped,,False,unclear_skipped,,False,unclear_skipped,,False,unclear_no_abstract
,,unclear_no_abstract,exclude_no_abstract,unclear_skipped,,False,unclear_skipped,,False,unclear_skipped,,False,unclear_skipped,,False,unclear_skipped,,False,unclear_no_abstract
,,unclear_no_abstract,exclude_no_abstract,unclear_skipped,,False,unclear_skipped,,False,unclear_skipped,,False,unclear_skipped,,False,unclear_skipped,,False,unclear_no_abstract
,,unclear_no_abstract,exclude_no_abstract,unclear_skipped,,False,unclear_skipped,,False,unclear_skipped,,False,unclear_skipped,,False,unclear_skipped,,False,unclear_no_abstract
,,unclear_no_abstract,exclude_no_abstract,unclear_skipped,,False,unclear_skipped,,False,unclear_skipped,,False,unclear_skipped,,False,unclear_skipped,,False,unclear_no_abstract
,,unclear_no_abstract,exclude_no_abstract,unclear_skipped,,False,unclear_skipped,,False,unclear_skipped,,False,unclear_skipped,,False,unclear_skipped,,False,unclear_no_abstract
,,unclear_no_abstract,exclude_no_abstract,unclear_skipped,,False,unclear_skipped,,False,unclear_skipped,,False,unclear_skipped,,False,unclear_skipped,,False,unclear_no_abstract
,,unclear_no_abstract,exclude_no_abstract,unclear_skipped,,False,unclear_skipped,,False,unclear_skipped,,False,unclear_skipped,,False,unclear_skipped,,False,unclear_no_abstract
,,unclear_no_abstract,exclude_no_abstract,unclear_skipped,,False,unclear_skipped,,False,unclear_skipped,,False,unclear_skipped,,False,unclear_skipped,,False,unclear_no_abstract
,,unclear_no_abstract,exclude_no_abstract,unclear_skipped,,False,unclear_skipped,,False,unclear_skipped,,False,unclear_skipped,,False,unclear_skipped,,False,unclear_no_abstract
,,unclear_no_abstract,exclude_no_abstract,unclear_skipped,,False,unclear_skipped,,False,unclear_skipped,,False,unclear_skipped,,False,unclear_skipped,,False,unclear_no_abstract
,,unclear_no_abstract,exclude_no_abstract,unclear_skipped,,False,unclear_skipped,,False,unclear_skipped,,False,unclear_skipped,,False,unclear_skipped,,False,unclear_no_abstract
,,unclear_no_abstract,exclude_no_abstract,unclear_skipped,,False,unclear_skipped,,False,unclear_skipped,,False,unclear_skipped,,False,unclear_skipped,,False,unclear_no_abstract
,,unclear_no_abstract,exclude_no_abstract,unclear_skipped,,False,unclear_skipped,,False,unclear_skipped,,False,unclear_skipped,,False,unclear_skipped,,False,unclear_no_abstract
,,unclear_no_abstract,exclude_no_abstract,unclear_skipped,,False,unclear_skipped,,False,unclear_skipped,,False,unclear_skipped,,False,unclear_skipped,,False,unclear_no_abstract
,,unclear_no_abstract,exclude_no_abstract,unclear_skipped,,False,unclear_skipped,,False,unclear_skipped,,False,unclear_skipped,,False,unclear_skipped,,False,unclear_no_abstract
,,unclear_no_abstract,exclude_no_abstract,unclear_skipped,,False,unclear_skipped,,False,unclear_skipped,,False,unclear_skipped,,False,unclear_skipped,,False,unclear_no_abstract
,,unclear_no_abstract,exclude_no_abstract,unclear_skipped,,False,unclear_skipped,,False,unclear_skipped,,False,unclear_skipped,,False,unclear_skipped,,False,unclear_no_abstract
,,unclear_no_abstract,exclude_no_abstract,unclear_skipped,,False,unclear_skipped,,False,unclear_skipped,,False,unclear_skipped,,False,unclear_skipped,,False,unclear_no_abstract
,,unclear_no_abstract,exclude_no_abstract,unclear_skipped,,False,unclear_skipped,,False,unclear_skipped,,False,unclear_skipped,,False,unclear_skipped,,False,unclear_no_abstract
,,unclear_no_abstract,exclude_no_abstract,unclear_skipped,,False,unclear_skipped,,False,unclear_skipped,,False,unclear_skipped,,False,unclear_skipped,,False,unclear_no_abstract
10.1002/cli2.54,2023.0,unclear,pass,yes,smallholder farm households,True,yes,households’ resilience and vulnerability,True,yes,Climate change is causing serious challenges for smallholder farm households,True,yes,Multinomial endogenous switching regression was used to estimate the average treatment effects (ATEs),True,unclear_bad_quote,"Central Rift Valley, Ethiopia",False,unclear
10.1007/s10668-017-0050-6,2017.0,unclear,pass,yes,questionnaire survey of 720 farming households,True,yes,adoption of agricultural adaptations to climate change impacts,True,yes,climate change has adversely affected agriculture in Nepal,True,yes,employ propensity score matching technique to examine the impact of CBOs on climate change adaptation,True,unclear_bad_quote,seven districts of Nepal,False,unclear
10.1080/17565529.2018.1469965,2018.0,unclear,pass,yes,rice farmers in the Tanahun district of Nepal,True,yes,climate change adaptation practices used by rice farmers,True,unclear_bad_quote,impact of climate change on crop production,False,yes,empirical means of resolving this question,True,unclear_bad_quote,"Tanahun district, Nepal",False,unclear
10.1007/s10113-010-0137-1,2010.0,unclear,pass,unclear,,False,unclear,,False,unclear,,False,unclear,,False,unclear,,False,unclear
10.1007/s10584-018-2168-4,2018.0,unclear,pass,yes,smallholder farmers,True,yes,impact of climate change adaptation practices on technical efficiency (TE),True,yes,minimize the adverse impacts of climate change,True,unclear_bad_quote,empirical study that examine the impact,False,yes,six districts of Nepal representing all three agro-ecological regions,True,unclear
